Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Converged at epoch: 400
Number of parameters in output net: 72
Number of parameters in hypernet: 684
Number of training points: 1280
Number of test points: 320
Epoch 0100 | Time 0.065 (0.056) | NFE-F 22.5 | NFE-B 21.8 | Test Acc 0.6719 | Train Acc 0.7008
Epoch 0200 | Time 0.064 (0.068) | NFE-F 26.0 | NFE-B 27.1 | Test Acc 0.7594 | Train Acc 0.7523
Epoch 0300 | Time 0.065 (0.067) | NFE-F 26.1 | NFE-B 27.0 | Test Acc 0.7781 | Train Acc 0.7695
Epoch 0400 | Time 0.065 (0.068) | NFE-F 26.1 | NFE-B 27.0 | Test Acc 0.7812 | Train Acc 0.7758
Epoch 0500 | Time 0.066 (0.068) | NFE-F 26.3 | NFE-B 27.2 | Test Acc 0.8031 | Train Acc 0.7852
Epoch 0600 | Time 0.069 (0.068) | NFE-F 26.4 | NFE-B 27.3 | Test Acc 0.7906 | Train Acc 0.7977
Epoch 0700 | Time 0.068 (0.070) | NFE-F 27.2 | NFE-B 27.8 | Test Acc 0.7906 | Train Acc 0.8063
Epoch 0800 | Time 0.073 (0.077) | NFE-F 28.4 | NFE-B 31.4 | Test Acc 0.8125 | Train Acc 0.8078
Epoch 0900 | Time 0.075 (0.080) | NFE-F 29.1 | NFE-B 33.0 | Test Acc 0.8156 | Train Acc 0.8148
Epoch 1000 | Time 0.088 (0.084) | NFE-F 30.7 | NFE-B 35.1 | Test Acc 0.8250 | Train Acc 0.7992
Epoch 1100 | Time 0.079 (0.085) | NFE-F 31.3 | NFE-B 35.6 | Test Acc 0.8094 | Train Acc 0.8148
Epoch 1200 | Time 0.093 (0.087) | NFE-F 31.7 | NFE-B 36.7 | Test Acc 0.7969 | Train Acc 0.8070
Epoch 1300 | Time 0.098 (0.087) | NFE-F 32.0 | NFE-B 36.7 | Test Acc 0.8156 | Train Acc 0.8148
Epoch 1400 | Time 0.082 (0.087) | NFE-F 32.2 | NFE-B 36.7 | Test Acc 0.8094 | Train Acc 0.8172
Epoch 1500 | Time 0.079 (0.088) | NFE-F 32.3 | NFE-B 37.3 | Test Acc 0.8094 | Train Acc 0.8164
Epoch 1600 | Time 0.079 (0.090) | NFE-F 32.5 | NFE-B 38.1 | Test Acc 0.8219 | Train Acc 0.8195
Epoch 1700 | Time 0.107 (0.090) | NFE-F 32.4 | NFE-B 38.1 | Test Acc 0.8313 | Train Acc 0.8289
Epoch 1800 | Time 0.090 (0.091) | NFE-F 32.6 | NFE-B 38.7 | Test Acc 0.8156 | Train Acc 0.8227
Epoch 1900 | Time 0.076 (0.091) | NFE-F 32.4 | NFE-B 39.0 | Test Acc 0.8094 | Train Acc 0.8250
Epoch 2000 | Time 0.088 (0.091) | NFE-F 32.4 | NFE-B 39.1 | Test Acc 0.8156 | Train Acc 0.8219
Epoch 2100 | Time 0.108 (0.094) | NFE-F 32.5 | NFE-B 40.6 | Test Acc 0.8187 | Train Acc 0.8336
Epoch 2200 | Time 0.089 (0.094) | NFE-F 32.3 | NFE-B 40.7 | Test Acc 0.8219 | Train Acc 0.8414
Epoch 2300 | Time 0.107 (0.093) | NFE-F 32.5 | NFE-B 40.3 | Test Acc 0.8156 | Train Acc 0.8383
